                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 3.4223,                 3.3876,                 1.1466,                 0.0015,                0.11538,                0.00129,                0.00063,                 3.7327,                 5.2591,                 1.1314,               0.005974,               0.005974,               0.005974
                    124,                 3.3965,                 3.6515,                 1.1968,                0.00095,                0.07692,                0.00065,                0.00031,                 3.8651,                 5.9058,                 1.1172,               0.005941,               0.005941,               0.005941
                    125,                 3.5616,                 3.4804,                 1.1973,                0.00095,                0.07692,                0.00065,                0.00031,                 3.8651,                 5.9058,                 1.1172,               0.005908,               0.005908,               0.005908
                    126,                 3.8226,                 3.5152,                 1.1357,                0.00095,                0.07692,                0.00065,                 0.0003,                 3.9188,                 6.4687,                 1.1163,               0.005875,               0.005875,               0.005875
                    127,                 3.3759,                 3.4331,                 1.1538,                 0.0011,                0.07692,                0.00079,                0.00032,                 4.0477,                 5.7239,                  1.158,               0.005842,               0.005842,               0.005842
                    128,                 3.4333,                 3.4421,                 1.2368,                0.00073,                0.03846,                0.00096,                0.00019,                 4.3144,                 5.2072,                 1.2765,               0.005809,               0.005809,               0.005809
                    129,                 3.4109,                 3.4251,                 1.1788,                0.00073,                0.03846,                0.00096,                0.00019,                 4.3144,                 5.2072,                 1.2765,               0.005776,               0.005776,               0.005776
                    130,                 3.5043,                 3.5231,                 1.2308,                0.06416,                0.03846,                0.01796,                0.00371,                 4.1741,                 4.8367,                 1.2258,               0.005743,               0.005743,               0.005743
                    131,                 3.5925,                 3.5755,                 1.1792,                0.35452,                0.03846,                0.01788,                0.00194,                 3.9864,                 4.7055,                  1.173,                0.00571,                0.00571,                0.00571
                    132,                 3.5051,                 3.4274,                 1.1875,                0.03329,                0.03846,                0.01789,                0.00197,                 3.7615,                 5.0736,                 1.1405,               0.005677,               0.005677,               0.005677
                    133,                 3.4341,                 3.4383,                 1.1972,                0.03329,                0.03846,                0.01789,                0.00197,                 3.7615,                 5.0736,                 1.1405,               0.005644,               0.005644,               0.005644
                    134,                 3.4393,                 3.4702,                 1.2035,                0.03329,                0.03846,                0.01789,                0.00197,                 3.5912,                 5.7447,                 1.1041,               0.005611,               0.005611,               0.005611
                    135,                  3.532,                 3.2778,                 1.1779,                  0.004,                0.03846,                0.00102,                 0.0001,                 3.7078,                 6.4406,                 1.1038,               0.005578,               0.005578,               0.005578
                    136,                 3.6805,                  3.312,                 1.1748,                0.01923,                0.03846,                0.03588,                0.00711,                 3.7139,                 5.9548,                 1.1023,               0.005545,               0.005545,               0.005545
                    137,                 3.6205,                 3.7689,                 1.2281,                0.01923,                0.03846,                0.03588,                0.00711,                 3.7139,                 5.9548,                 1.1023,               0.005512,               0.005512,               0.005512
                    138,                 3.5389,                 3.3594,                 1.1502,                0.41928,                0.03846,                 0.0362,                0.00753,                 3.6613,                 4.8742,                 1.1003,               0.005479,               0.005479,               0.005479
                    139,                  3.702,                 3.4768,                 1.1518,                 0.4537,                0.03846,                0.03728,                0.01123,                 3.6764,                  4.894,                 1.1018,               0.005446,               0.005446,               0.005446
                    140,                 3.4087,                 3.5463,                 1.1297,                0.70313,                0.03846,                 0.0394,                0.00459,                 3.8282,                 4.9017,                 1.1189,               0.005413,               0.005413,               0.005413
                    141,                 3.3716,                 3.4599,                 1.1884,                0.70313,                0.03846,                 0.0394,                0.00459,                 3.8282,                 4.9017,                 1.1189,                0.00538,                0.00538,                0.00538
                    142,                 3.3631,                 3.5168,                 1.1594,                 0.0019,                0.15385,                0.00221,                0.00072,                  3.782,                 5.2077,                 1.1299,               0.005347,               0.005347,               0.005347
                    143,                 3.2531,                 3.5375,                 1.2272,                0.00143,                0.11538,                0.00113,                 0.0005,                 3.9249,                 5.4206,                 1.1498,               0.005314,               0.005314,               0.005314
                    144,                 3.2902,                 3.7973,                 1.0931,                0.00143,                0.11538,                0.00093,                0.00033,                 4.0626,                 5.4333,                 1.1473,               0.005281,               0.005281,               0.005281
                    145,                 3.5359,                 3.5121,                 1.1036,                0.00143,                0.11538,                0.00093,                0.00033,                 4.0626,                 5.4333,                 1.1473,               0.005248,               0.005248,               0.005248
                    146,                 3.4847,                 3.6598,                 1.1427,                0.00143,                0.11538,                0.00086,                0.00028,                  4.225,                 5.2576,                 1.1617,               0.005215,               0.005215,               0.005215
                    147,                 3.4817,                  3.539,                  1.131,                0.00143,                0.11538,                0.00089,                0.00028,                 4.1087,                 4.9289,                 1.1471,               0.005182,               0.005182,               0.005182
                    148,                 3.4557,                 3.4983,                 1.2097,                0.00154,                0.11538,                0.00097,                 0.0003,                 3.8287,                 4.6742,                 1.1147,               0.005149,               0.005149,               0.005149
                    149,                 3.4856,                 3.4419,                 1.2317,                0.00154,                0.11538,                0.00097,                 0.0003,                 3.8287,                 4.6742,                 1.1147,               0.005116,               0.005116,               0.005116
