                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                  2.255,                 2.8616,                 1.3372,                0.35627,                0.07692,                0.06777,                0.03971,                 2.5632,                  3.811,                 1.4934,               0.006733,               0.006733,               0.006733
                    101,                 2.2421,                 3.0222,                 1.2802,                0.35627,                0.07692,                0.06777,                0.03971,                 2.5632,                  3.811,                 1.4934,                 0.0067,                 0.0067,                 0.0067
                    102,                 2.4585,                  2.934,                 1.2167,                0.24824,                0.07692,                0.04299,                0.02404,                 2.5508,                 3.8966,                 1.4756,               0.006667,               0.006667,               0.006667
                    103,                 2.2354,                 2.8613,                 1.3106,                0.19176,                0.07692,                0.02536,                0.01292,                 2.4609,                 3.9908,                 1.4267,               0.006634,               0.006634,               0.006634
                    104,                 2.3078,                 2.8289,                 1.2241,                0.13979,                0.07692,                0.02173,                0.00926,                 2.4106,                 4.1111,                 1.4073,               0.006601,               0.006601,               0.006601
                    105,                 2.3556,                 3.2956,                 1.3148,                0.13979,                0.07692,                0.02173,                0.00926,                 2.4106,                 4.1111,                 1.4073,               0.006568,               0.006568,               0.006568
                    106,                 2.1812,                 2.9003,                 1.3046,                0.21881,                0.07692,                0.02537,                0.00979,                 2.4297,                 4.0727,                 1.3998,               0.006535,               0.006535,               0.006535
                    107,                 2.2656,                 2.9679,                 1.2602,                0.13427,                0.11538,                0.03959,                0.01505,                 2.4826,                 4.1057,                 1.4098,               0.006502,               0.006502,               0.006502
                    108,                 1.9457,                 2.5865,                 1.2746,                0.28297,                0.11538,                0.06416,                0.04081,                 2.4982,                 4.0751,                 1.4144,               0.006469,               0.006469,               0.006469
                    109,                 2.1553,                 2.9256,                 1.3774,                0.28297,                0.11538,                0.06416,                0.04081,                 2.4982,                 4.0751,                 1.4144,               0.006436,               0.006436,               0.006436
                    110,                 2.0101,                 2.7008,                 1.3359,                0.23408,                0.11538,                0.06746,                0.04422,                 2.4319,                 3.9747,                 1.3919,               0.006403,               0.006403,               0.006403
                    111,                 2.2027,                 3.0092,                 1.3622,                0.18961,                0.07692,                 0.0558,                0.03635,                 2.3952,                 3.9477,                 1.3752,                0.00637,                0.00637,                0.00637
                    112,                 2.3006,                 2.8809,                 1.3717,                0.15219,                0.07692,                0.05345,                0.03459,                 2.4186,                  3.954,                  1.402,               0.006337,               0.006337,               0.006337
                    113,                 2.0808,                 2.6496,                 1.3804,                0.15219,                0.07692,                0.05345,                0.03459,                 2.4186,                  3.954,                  1.402,               0.006304,               0.006304,               0.006304
                    114,                 2.0488,                 2.8239,                 1.3845,                0.12921,                0.11538,                0.06175,                0.03127,                 2.3623,                 3.9137,                 1.4228,               0.006271,               0.006271,               0.006271
                    115,                 2.2287,                 2.7639,                 1.3143,                 0.1513,                0.15385,                0.06186,                 0.0318,                 2.3335,                 3.9054,                 1.4387,               0.006238,               0.006238,               0.006238
                    116,                 2.1388,                 2.7278,                 1.4338,                0.15912,                0.07692,                0.06002,                0.03219,                 2.2614,                 3.9937,                 1.4444,               0.006205,               0.006205,               0.006205
                    117,                  2.082,                 2.7042,                 1.3593,                0.15912,                0.07692,                0.06002,                0.03219,                 2.2614,                 3.9937,                 1.4444,               0.006172,               0.006172,               0.006172
                    118,                 2.0464,                 2.7696,                 1.2755,                0.17492,                0.07692,                0.05232,                0.02944,                 2.2002,                 4.2881,                 1.4433,               0.006139,               0.006139,               0.006139
                    119,                 2.2132,                 2.8544,                 1.3149,                0.13873,                0.07692,                0.04901,                0.02878,                   2.21,                 4.5393,                 1.4278,               0.006106,               0.006106,               0.006106
                    120,                 2.1476,                 2.5953,                 1.3615,                0.08325,                0.07692,                0.04425,                0.02257,                 2.2545,                 4.6379,                 1.4275,               0.006073,               0.006073,               0.006073
                    121,                 2.0743,                 2.6101,                 1.2941,                0.08325,                0.07692,                0.04425,                0.02257,                 2.2545,                 4.6379,                 1.4275,                0.00604,                0.00604,                0.00604
                    122,                 2.1587,                  2.721,                 1.3273,                0.92148,                0.03846,                0.04281,                0.02131,                 2.3102,                 4.4667,                 1.4449,               0.006007,               0.006007,               0.006007
                    123,                 2.1661,                 2.7291,                 1.2799,                0.10521,                0.11538,                 0.0496,                0.02249,                 2.4366,                 4.3084,                 1.5394,               0.005974,               0.005974,               0.005974
                    124,                 2.2067,                 2.8504,                  1.362,                0.20202,                0.11538,                0.05948,                 0.0216,                 2.5292,                 4.1035,                 1.6183,               0.005941,               0.005941,               0.005941
                    125,                 2.1963,                 2.6996,                 1.3586,                0.20202,                0.11538,                0.05948,                 0.0216,                 2.5292,                 4.1035,                 1.6183,               0.005908,               0.005908,               0.005908
                    126,                 2.4204,                 2.9074,                 1.2411,                0.18921,                0.11538,                0.07223,                0.02534,                 2.5465,                 4.0476,                 1.6547,               0.005875,               0.005875,               0.005875
                    127,                 2.1457,                 2.7578,                 1.2814,                0.54585,                0.07692,                0.07707,                0.03318,                 2.4928,                  3.934,                  1.591,               0.005842,               0.005842,               0.005842
                    128,                 2.1546,                 2.8292,                  1.351,                      1,                0.07645,                0.09022,                0.04395,                 2.4228,                 3.9259,                 1.5366,               0.005809,               0.005809,               0.005809
